company_name,job_state,min_salary,max_salary,python_yn,R_yn,spark,aws,excel,data_scientist,data_engineer,senior_data_scientist,data_analyst,senior_data_engineer,min_size,max_size,min_revenue,max_revenue,private_company,public_company,nonprofit,subsidiary_or_business
"Excella Consulting
", VA,60.0,114.0,1,0,0,1,1,0,1,0,0,0,201,500,50.0,100.0,1,0,0,0
"Gensco
", WA,39.0,68.0,0,0,0,0,1,0,0,0,1,0,501,1000,100.0,500.0,1,0,0,0
"Walmart
", TX,106.0,172.0,0,0,0,0,0,0,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"Logic20/20
", CA,86.0,142.0,1,0,1,1,1,1,0,0,0,0,201,500,25.0,50.0,1,0,0,0
"goTRG
", FL,64.0,107.0,1,0,1,0,1,1,0,0,0,0,501,1000,100.0,500.0,1,0,0,0
"NMR Consulting
", AL,31.0,65.0,0,0,0,0,1,0,0,0,0,0,51,200,25.0,50.0,1,0,0,0
"iSeatz
", LA,34.0,62.0,0,0,0,0,1,0,0,0,0,0,51,200,5.1,40.0,1,0,0,0
"Nektar Therapeutics
", CA,117.0,231.0,0,0,0,0,1,0,0,0,0,0,201,500,100.0,500.0,0,1,0,0
"TransUnion
", GA,64.0,106.0,1,0,1,0,0,0,0,0,0,0,5001,10000,1000.0,2000.0,0,1,0,0
"IT Concepts
", MD,79.0,134.0,0,0,0,0,0,0,0,0,0,0,51,200,10.0,25.0,1,0,0,0
"Scientific Research Corporation
", MD,52.0,93.0,0,0,0,0,1,0,0,0,0,0,1001,5000,100.0,500.0,1,0,0,0
"General Dynamics Information Technology
", MD,55.0,116.0,0,0,0,0,0,0,0,0,0,0,10000,20000,10000.0,20000.0,0,0,0,1
"MITRE
", VA,72.0,123.0,1,0,0,0,1,1,0,0,0,0,5001,10000,1000.0,2000.0,0,0,1,0
"The Buffalo Group
", VA,74.0,124.0,1,0,0,0,1,1,0,0,0,0,501,1000,100.0,500.0,1,0,0,0
"DentaQuest
", WI,40.0,73.0,0,0,0,0,1,0,0,0,1,0,1001,5000,2000.0,5000.0,1,0,0,0
"Redjack
", MD,102.0,164.0,1,0,0,0,0,0,0,0,0,0,1,50,0.1,10.0,1,0,0,0
"7Park Data
", NY,89.0,153.0,1,0,1,0,0,1,0,0,0,0,51,200,5.1,40.0,1,0,0,0
"Rapid Response Monitoring
", NY,61.0,110.0,1,0,0,0,0,1,0,0,0,0,501,1000,50.1,200.0,1,0,0,0
"Trilogy Ed
", TX,65.0,110.0,1,0,0,0,0,0,0,0,0,0,1001,5000,100.1,1000.0,0,0,0,1
"Gallup
", DC,200.0,275.0,1,0,0,0,1,0,0,1,0,0,1001,5000,100.1,1000.0,1,0,0,0
"CapTech
", NC,68.0,123.0,1,0,1,0,0,0,1,0,0,0,1001,5000,100.0,500.0,1,0,0,0
"American Axle & Manufacturing
", MI,80.0,129.0,1,0,1,1,1,0,0,1,0,0,10000,20000,5000.0,10000.0,0,1,0,0
"CentralReach
", NJ,41.0,72.0,0,0,0,0,1,0,0,0,0,0,201,500,20.1,100.0,1,0,0,0
"Integrate
", AZ,39.0,71.0,0,0,0,0,1,0,0,0,0,0,201,500,25.0,50.0,1,0,0,0
"Boys Town Hospital
", NE,38.0,85.0,0,0,0,0,1,0,0,0,0,0,1001,5000,100.1,1000.0,0,0,0,0
"Demandbase
", CA,121.0,193.0,0,0,1,1,0,1,0,0,0,0,201,500,100.0,500.0,1,0,0,0
"Sapphire Digital
", NJ,54.0,102.0,1,0,0,0,0,0,1,0,0,0,201,500,20.1,100.0,1,0,0,0
"Takeda Pharmaceuticals
", MA,83.0,144.0,1,0,1,0,0,1,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"<intent>
", NY,120.0,160.0,1,0,1,0,0,1,0,0,0,0,51,200,100.0,500.0,1,0,0,0
"Formation
", CA,102.0,163.0,0,0,1,0,1,1,0,0,0,0,51,200,5.1,40.0,1,0,0,0
"Autodesk
", CA,76.0,140.0,1,0,1,0,0,0,1,0,0,0,5001,10000,2000.0,5000.0,0,1,0,0
"Beck's Hybrids
", IN,60.0,101.0,0,0,0,0,0,0,0,0,0,0,501,1000,50.0,100.0,1,0,0,0
"DrFirst
", MD,82.0,133.0,1,0,0,0,0,1,0,0,0,0,201,500,20.1,100.0,1,0,0,0
"Object Partners
", MN,65.0,125.0,0,0,1,1,0,0,1,0,0,0,51,200,25.0,50.0,1,0,0,0
"L.A. Care Health Plan
", CA,91.0,148.0,1,0,1,0,0,0,0,0,0,0,1001,5000,100.1,1000.0,0,0,1,0
"Red Ventures
", NC,95.0,173.0,0,0,1,1,0,0,0,0,0,1,1001,5000,1000.0,2000.0,1,0,0,0
"Quick Base
", MA,77.0,124.0,1,0,0,0,1,1,0,0,0,0,201,500,20.1,100.0,1,0,0,0
"The E.W. Scripps Company
", OH,80.0,135.0,1,0,0,0,0,1,0,0,0,0,1001,5000,500.0,1000.0,0,1,0,0
"Upside Business Travel
", DC,85.0,159.0,1,0,1,1,0,0,1,0,0,0,51,200,5.1,40.0,1,0,0,0
"Equity Residential
", IL,80.0,105.0,1,0,1,0,1,0,1,0,0,0,1001,5000,2000.0,5000.0,0,1,0,0
"Synagro
", MD,43.0,81.0,0,0,0,0,1,0,0,0,1,0,501,1000,100.0,500.0,1,0,0,0
"Alliance Source Testing
", AL,29.0,50.0,0,0,0,0,0,0,0,0,0,0,51,200,25.0,50.0,0,0,0,0
"Accuride International
", Los Angeles,82.0,133.0,0,0,0,0,1,1,0,0,0,0,1001,5000,100.0,500.0,1,0,0,0
"Full Potential Solutions
", MO,26.0,55.0,1,0,0,1,1,0,0,0,0,0,501,1000,50.1,200.0,1,0,0,0
"Visa Inc.
", VA,61.0,118.0,1,0,1,0,0,0,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"Maven Wave Partners
", IL,60.0,102.0,1,0,0,1,1,1,0,0,0,0,201,500,50.0,100.0,1,0,0,0
"Novetta
", VA,112.0,182.0,1,0,0,1,0,0,0,1,0,0,501,1000,100.0,500.0,1,0,0,0
"First Command Financial Services, Inc.
", TX,64.0,106.0,1,0,0,0,1,1,0,0,0,0,1001,5000,100.0,500.0,1,0,0,0
"Pharmavite
", CA,51.0,112.0,0,0,0,0,1,0,0,0,0,0,1001,5000,1000.0,2000.0,1,0,0,0
"BioMarin Pharmaceutical
", CA,113.0,223.0,0,0,0,0,1,0,0,0,0,0,1001,5000,500.0,1000.0,0,1,0,0
"Stratagem Group
", CO,72.0,129.0,1,0,1,1,1,0,0,0,0,0,1,50,0.1,10.0,1,0,0,0
"PA Consulting
", NY,71.0,123.0,1,0,1,0,1,0,0,0,0,0,1001,5000,100.0,500.0,1,0,0,0
"ManTech
", VA,64.0,106.0,0,0,0,0,0,1,0,0,0,0,5001,10000,1000.0,2000.0,0,1,0,0
"h2o.ai
", CA,118.0,189.0,1,0,1,1,1,0,0,0,0,0,201,500,20.1,100.0,1,0,0,0
"Gridiron IT
", FL,120.0,145.0,0,0,0,0,0,0,1,0,0,0,51,200,5.1,40.0,1,0,0,0
"Productive Edge
", IL,80.0,120.0,0,0,1,0,1,0,1,0,0,0,51,200,10.0,25.0,1,0,0,0
"Evolve Vacation Rental
", CO,80.0,130.0,1,0,0,0,0,0,0,0,0,0,201,500,20.1,100.0,1,0,0,0
"The Church of Jesus Christ of Latter-day Saints
", UT,59.0,115.0,0,0,0,1,1,0,0,0,0,0,10000,20000,1000.0,4000.0,0,0,1,0
"Maximus Real Estate Partners
", CA,71.0,136.0,0,0,0,0,1,0,0,0,0,0,51,200,5.1,40.0,1,0,0,0
"Software Engineering Institute
", PA,81.0,167.0,1,0,0,0,1,0,0,0,0,0,501,1000,50.1,200.0,0,0,0,0
"PNNL
", WA,49.0,85.0,1,0,0,0,0,0,0,0,0,0,1001,5000,500.0,1000.0,0,0,0,0
"AVANADE
", DC,60.0,114.0,0,0,0,0,0,0,1,0,0,0,10000,20000,2000.0,5000.0,1,0,0,0
"h2o.ai
", IL,71.0,204.0,1,0,1,1,1,0,0,0,0,0,201,500,20.1,100.0,1,0,0,0
"PatientPoint
", OH,75.0,125.0,1,0,0,0,1,0,0,0,0,0,201,500,100.0,500.0,1,0,0,0
"BlueCross BlueShield of Tennessee
", TN,77.0,136.0,0,0,0,0,1,0,0,0,0,0,5001,10000,5000.0,10000.0,0,0,1,0
"PNNL
", WA,74.0,123.0,0,0,0,0,0,0,0,0,0,0,1001,5000,500.0,1000.0,0,0,0,0
"KnowBe4
", FL,44.0,78.0,1,0,0,0,1,0,0,0,0,0,501,1000,100.0,500.0,1,0,0,0
"KSM Consulting
", IN,65.0,148.0,1,0,1,1,0,0,0,0,0,0,51,200,5.1,40.0,1,0,0,0
"Cogo Labs
", MA,59.0,110.0,1,0,1,0,0,0,1,0,0,0,51,200,5.1,40.0,1,0,0,0
"Church & Dwight
", NJ,85.0,134.0,1,0,0,0,1,0,0,0,0,0,1001,5000,2000.0,5000.0,0,1,0,0
"MassMutual
", MA,124.0,204.0,1,0,1,1,0,0,0,0,0,0,5001,10000,10000.0,20000.0,1,0,0,0
"Genentech
", CA,131.0,207.0,1,0,1,0,1,0,0,0,0,0,10000,20000,10000.0,20000.0,0,0,0,1
"Juniper Networks
", CA,110.0,174.0,1,0,1,1,1,0,0,1,0,0,5001,10000,2000.0,5000.0,0,1,0,0
"Takeda Pharmaceuticals
", MA,52.0,101.0,0,0,0,0,1,0,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"Legal & General America
", MD,81.0,133.0,1,0,0,0,1,0,0,0,0,0,501,1000,500.0,1000.0,1,0,0,0
"Western Digital
", CA,132.0,211.0,1,0,0,1,0,0,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"Health IQ
", TX,73.0,119.0,0,0,0,0,1,0,0,0,0,0,201,500,20.1,100.0,1,0,0,0
"Nuna
", CA,110.0,175.0,0,0,0,0,0,0,0,0,0,0,51,200,5.1,40.0,1,0,0,0
"The Church of Jesus Christ of Latter-day Saints
", UT,74.0,140.0,0,0,0,0,1,0,0,0,0,0,10000,20000,1000.0,4000.0,0,0,1,0
"Sunovion
", MA,100.0,190.0,1,0,0,0,1,0,0,0,0,0,1001,5000,1000.0,2000.0,1,0,0,0
"National Student Clearinghouse
", VA,43.0,80.0,1,0,0,0,1,0,0,0,0,0,201,500,25.0,50.0,0,0,1,0
"Tower Health
", PA,35.36,49.92,0,0,0,0,0,0,0,0,0,0,5001,10000,500.1,2000.0,0,0,1,0
"State of Wisconsin Investment Board
", WI,91.0,149.0,1,0,0,0,0,0,0,0,0,0,51,200,50.0,100.0,0,0,0,0
"Rubius Therapeutics
", MA,42.0,82.0,0,0,0,0,0,0,0,0,0,0,201,500,100.0,500.0,0,1,0,0
